% University Website Quality - CSE 4112 Machine Learning Laboratory, KUET
%
% 1225 university landing pages, 71 predictive attributes.
% 60 attributes are nominal {0,1} presence flags; 11 are numeric counts, percentages, ratios or z-scores.
% Identifier columns (uni_id, name, url, country, region) are excluded on purpose so no
% model can memorise a university; index_*.csv maps instance number back to the name.
% All 22 Bangladeshi universities are in the test split and none is in train.
% There are no missing values: they were imputed during dataset construction and every
% imputed column carries a companion *_was_missing flag.
%
% Relation: website_quality_train
% Instances: 981
% Target attribute: website_score (numeric, 0-100)

@relation website_quality_train

@attribute a01_logo {0,1}
@attribute a02_primary_nav {0,1}
@attribute a03_nav_item_count numeric
@attribute a04_search_bar {0,1}
@attribute a05_language_toggle {0,1}
@attribute a06_breadcrumb {0,1}
@attribute a07_qs_badge {0,1}
@attribute a09_national_rank {0,1}
@attribute a11_accreditation {0,1}
@attribute a12_accred_count numeric
@attribute a13_achievements {0,1}
@attribute a14_stats_block {0,1}
@attribute a15_stat_item_count numeric
@attribute a16_notice_board {0,1}
@attribute a17_notice_timestamp {0,1}
@attribute a20_news_events {0,1}
@attribute a21_calendar_link {0,1}
@attribute a22_admission_notice {0,1}
@attribute a23_upcoming_events {0,1}
@attribute a24_event_count numeric
@attribute a25_event_images {0,1}
@attribute a26_event_captions {0,1}
@attribute a27_event_datetime {0,1}
@attribute a28_contests {0,1}
@attribute a29_video_content {0,1}
@attribute a30_image_gallery {0,1}
@attribute a31_social_feed_embed {0,1}
@attribute a32_vision_mission {0,1}
@attribute a33_about_blurb {0,1}
@attribute a34_department_links {0,1}
@attribute a35_faculty_link {0,1}
@attribute a36_research_highlight {0,1}
@attribute a37_programs_listing {0,1}
@attribute a38_scholarship {0,1}
@attribute a39_library_link {0,1}
@attribute a40_career_link {0,1}
@attribute a41_alumni_link {0,1}
@attribute a42_faq_link {0,1}
@attribute a43_contact_link {0,1}
@attribute a44_student_portal {0,1}
@attribute a45_prospectus {0,1}
@attribute a46_admissions_policy {0,1}
@attribute a47_footer_contact {0,1}
@attribute a48_footer_sitemap {0,1}
@attribute a49_copyright_line {0,1}
@attribute a50_social_links {0,1}
@attribute a51_quick_links {0,1}
@attribute a53_contrast_ratio numeric
@attribute a53_contrast_ratio_was_missing {0,1}
@attribute a54_banner_carousel {0,1}
@attribute a57_logo_prominence {0,1}
@attribute a58_live_chat {0,1}
@attribute a59_feedback_form {0,1}
@attribute a60_trust_seal {0,1}
@attribute a61_testimonials {0,1}
@attribute a63_mobile_score numeric
@attribute a65_https {0,1}
@attribute a66_broken_links numeric
@attribute a67_gzip {0,1}
@attribute a69_title_meta {0,1}
@attribute a70_favicon {0,1}
@attribute a71_sitemap_robots {0,1}
@attribute a72_alt_text_pct numeric
@attribute a72_alt_text_pct_was_missing {0,1}
@attribute a73_accessible_design {0,1}
@attribute a74_a11y_toggle {0,1}
@attribute a75_bookmark {0,1}
@attribute broken_links_log numeric
@attribute load_time_z_region numeric
@attribute notice_recency_days numeric
@attribute notice_recency_days_was_missing {0,1}
@attribute website_score numeric

@data
1,1,2,1,0,1,0,1,1,2,1,1,8,0,1,1,1,1,1,18,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,16.67,0,1,1,0,0,1,0,100,1,0,1,1,1,1,87.9,0,1,1,0,0,-1.01157,0,0,91.61
1,1,7,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,3,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,15.42,0,1,1,0,0,0,0,100,1,0,1,1,1,1,82.6,0,1,1,0,0,0.257822,0,0,89.99
1,1,8,1,1,0,0,1,1,1,1,1,10,0,1,1,1,1,1,20,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,15.43,0,1,1,0,0,0,0,75,1,0,1,1,1,1,74.1,0,1,1,0,0,-1.28251,0,0,89.66
1,1,4,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,10.76,0,1,1,1,0,0,0,100,1,0,0,1,1,1,42.1,0,1,1,0,0,-0.465476,0,0,88.98
1,1,9,1,0,0,0,0,1,1,1,1,10,1,1,1,1,1,1,6,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,4.32,0,1,1,0,0,0,0,90,1,0,1,1,1,1,19.1,0,1,0,0,0,-0.141202,6,0,88.98
1,1,2,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,16.52,0,1,1,0,0,0,1,100,1,0,1,1,1,1,88.9,0,1,1,0,0,-1.12117,5,0,88.86
1,1,6,1,1,1,0,1,0,0,1,1,4,1,1,1,1,1,1,19,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,13.01,0,1,1,0,0,1,0,90,1,0,1,1,1,1,88.6,0,1,1,1,0,-0.756709,0,0,88.71
1,1,7,1,0,0,0,0,1,1,1,1,10,1,1,1,1,1,1,13,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,15.95,0,1,1,1,0,0,1,100,1,1,0,1,1,1,98.1,0,1,0,0,0.693147,-0.0587765,0,0,88.66
1,1,7,1,1,0,0,1,1,1,1,1,10,1,1,1,1,1,1,6,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,11.9,0,1,0,0,0,0,1,90,1,0,1,0,1,1,84.6,0,1,0,0,0,1.3963,0,0,88.32
1,1,19,1,0,0,0,1,1,1,1,1,10,0,1,1,1,1,1,20,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,15.91,0,1,1,0,0,0,1,100,1,0,1,1,1,1,90,0,1,0,0,0,1.03555,0,0,88.26
1,1,9,1,1,1,0,1,1,0,1,1,8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,21,0,1,1,0,0,0,0,75,1,0,1,1,1,1,85.1,0,1,1,0,0,-0.934921,1,0,88.12
1,1,5,1,1,1,0,1,1,2,1,0,0,1,1,1,1,1,1,20,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,21,0,1,0,0,0,1,1,75,1,0,1,1,1,0,52.6,0,1,1,0,0,-1.25697,0,0,87.91
0,1,16,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,6,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,11.46,0,1,0,1,0,0,1,75,1,0,1,1,1,1,20,0,1,0,0,0,0.122579,0,0,87.91
1,1,4,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,8.86,0,1,0,0,0,0,0,90,1,0,1,1,1,1,88.5,0,1,1,0,0,0.184886,0,0,87.81
1,1,3,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,7,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,12.63,0,1,1,0,0,1,1,75,1,1,1,1,1,1,94.1,0,1,1,0,0.693147,0.304435,11,0,87.5
0,1,4,1,0,0,1,1,1,1,1,1,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,8.72,0,1,0,0,0,0,0,90,1,0,1,1,1,0,93.2,0,1,1,0,0,-0.0762114,0,0,87.5
1,1,4,1,0,0,0,1,0,1,1,1,10,1,1,1,1,1,1,7,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,18.88,0,1,1,0,0,0,0,75,1,0,1,1,0,1,77.8,0,1,1,0,0,1.14827,0,0,87.38
1,1,6,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,6,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,16.67,0,1,1,0,0,0,0,75,1,0,1,1,1,1,100,0,1,0,0,0,-1.28827,0,0,87.29
1,1,4,1,0,0,0,0,1,1,1,1,8,1,1,1,1,1,1,8,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,12.63,0,1,1,0,0,0,0,90,1,0,1,1,1,1,65,0,1,1,0,0,-1.34549,0,0,87.27
1,1,8,0,1,0,0,1,0,0,1,1,10,1,1,1,1,1,1,12,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,13.93,0,1,1,0,0,1,0,100,1,0,1,1,1,0,8.3,0,1,1,0,0,0.359629,0,0,87.26
1,1,10,1,1,0,0,0,1,1,1,1,10,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,19.68,0,1,0,1,0,0,0,90,1,1,1,0,1,0,69.2,0,1,1,0,0.693147,0.223157,7,0,87.25
1,1,2,1,0,0,0,1,0,0,0,1,4,0,1,1,1,1,1,12,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,21,0,1,1,0,0,0,1,90,1,1,1,1,0,1,100,0,1,1,0,0.693147,-0.451447,0,0,87.11
0,1,5,1,0,0,0,1,0,0,0,1,2,1,1,1,0,1,1,3,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,18.69,0,1,0,1,0,0,0,100,1,0,1,1,1,1,90.9,0,1,0,0,0,0.915785,5,0,87.07
1,1,7,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,8,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,21,0,1,1,0,0,0,0,90,1,0,1,1,1,1,100,0,1,1,0,0,0.161607,0,0,87
1,1,7,1,0,0,0,1,0,0,0,1,10,0,1,1,0,1,1,11,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,4.86,0,1,1,1,0,1,1,75,1,0,1,1,1,1,64.4,0,1,1,0,0,0.180587,0,0,86.93
1,1,4,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,8.2,0,1,1,0,0,0,0,90,1,0,1,1,1,0,100,0,1,0,0,0,-1.37747,0,0,86.93
1,1,4,1,1,1,0,0,0,0,0,1,9,0,1,1,1,1,1,12,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,21,0,1,1,0,0,1,1,100,1,0,1,1,1,0,97.7,0,1,0,0,0,0.414284,0,0,86.82
1,1,10,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,18,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,15.43,0,1,1,0,0,0,0,75,1,0,0,0,1,1,100,0,1,0,0,0,-0.168926,0,0,86.78
1,1,4,1,1,0,0,0,0,0,0,1,10,1,1,1,1,1,1,20,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,17.4,0,1,1,1,0,1,0,100,1,0,1,1,1,1,43.4,0,1,1,0,0,-1.47687,0,0,86.59
1,1,1,1,1,0,0,0,0,0,1,1,6,1,1,1,1,1,1,5,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,21,0,1,1,0,0,1,1,90,1,1,1,1,1,0,98.3,0,1,0,0,0.693147,-0.42445,0,0,86.56
1,1,14,1,0,0,0,1,1,1,1,1,10,1,1,1,1,1,1,8,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,20.14,0,1,1,1,0,0,0,75,1,0,1,1,1,0,44.2,0,1,1,0,0,-0.4399,0,0,86.44
1,1,6,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,20,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,18.88,0,1,0,0,0,0,1,90,1,0,1,0,1,0,92.3,0,1,1,0,0,-0.723038,0,0,86.36
1,1,6,1,0,0,0,1,0,0,1,1,4,1,1,1,0,1,1,9,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,4.67,0,1,1,0,0,0,0,90,1,0,0,0,1,1,73.5,0,1,0,0,0,0.557924,18,0,86.33
1,1,8,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,2,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1.61,0,0,1,0,0,1,1,75,1,1,1,1,1,1,78,0,1,1,0,0.693147,-0.456194,0,0,86.29
1,1,9,1,0,0,0,0,1,1,1,1,10,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,15.43,0,1,0,0,0,0,0,75,1,0,1,1,0,0,82.9,0,1,0,0,0,2.20203,0,0,86.11
1,1,6,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,15.43,0,1,1,1,0,1,1,100,1,0,1,1,1,1,90,0,1,1,0,0,0.352933,0,0,85.96
0,1,4,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,6.66,0,1,0,0,0,1,0,75,1,1,1,1,1,1,0,1,1,1,0,0.693147,-1.39252,0,0,85.93
1,1,6,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,12.63,0,1,1,1,0,0,0,100,1,0,1,1,1,1,53.1,0,1,1,0,0,-0.387369,28,0,85.92
1,1,9,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,9,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,20.87,0,1,1,0,0,0,1,100,1,0,1,1,1,1,25.6,0,1,0,0,0,-1.20084,81,0,85.87
1,1,4,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,21,0,1,1,1,0,0,0,75,1,0,1,1,0,1,88.5,0,1,0,0,0,0.155168,4,0,85.83
1,1,5,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,21,0,1,1,0,0,0,0,75,1,0,1,1,1,0,100,0,1,1,0,0,0.115573,82,0,85.82
1,1,12,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,3,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,10.5,0,1,1,0,0,0,1,75,1,0,1,1,1,0,38.5,0,1,1,0,0,-1.52235,0,0,85.76
1,1,2,1,1,0,0,0,1,1,1,1,10,0,1,1,1,1,1,11,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,9.98,0,1,1,0,0,0,0,75,1,0,0,1,1,0,98.1,0,1,0,0,0,0.0893123,0,0,85.75
1,1,16,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,12.63,0,1,1,0,0,0,0,100,1,0,1,1,1,1,82.9,0,1,1,0,0,0.106774,0,0,85.71
1,1,9,1,1,0,0,0,1,1,1,1,3,0,1,1,1,1,1,13,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,12.52,0,1,1,0,0,0,0,75,1,0,1,1,1,1,82.9,0,1,0,0,0,-0.610745,7,0,85.63
1,1,4,1,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,5,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,12.63,0,1,1,0,0,0,0,100,1,0,1,1,1,1,92.9,0,1,0,0,0,-0.758705,0,0,85.44
1,1,2,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,2,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,11.03,0,1,1,0,0,0,1,90,1,0,1,1,1,1,90.9,0,1,1,0,0,-0.878868,4,0,85.39
1,1,9,0,0,0,0,1,1,1,1,1,8,1,1,1,1,1,1,11,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,12,0,1,1,0,0,0,1,75,1,0,1,1,1,0,96.1,0,1,1,0,0,-0.814017,0,0,85.27
1,1,6,1,1,0,1,1,1,1,1,1,10,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,21,0,1,1,0,0,0,0,75,1,0,1,1,1,0,2.5,0,1,0,0,0,1.33357,15,0,85.26
1,1,6,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,6,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,10.6,0,1,1,0,0,0,1,90,1,0,1,1,1,1,47.6,0,1,1,0,0,-0.737795,0,0,85.21
1,1,3,1,1,0,0,1,1,1,1,1,8,1,1,1,1,1,1,20,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,16.48,0,1,1,0,0,0,0,100,1,0,1,1,1,1,64.7,0,1,1,0,0,-0.911342,0,0,85.15
1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,19,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,21,0,1,0,0,0,0,1,100,1,1,1,1,1,1,7.8,0,1,1,0,0.693147,-0.697676,0,0,85.1
1,1,9,1,0,0,0,1,1,2,1,1,10,1,1,1,1,1,1,3,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,8.06,0,1,1,0,0,1,0,75,1,0,1,0,1,1,19.1,0,1,0,0,0,0.741436,0,0,85.07
1,1,7,1,0,0,1,1,0,0,1,1,2,1,1,1,1,1,1,7,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,7.46,0,1,1,0,0,0,0,90,1,1,1,0,1,1,76,0,1,0,0,0.693147,-0.679263,27,0,84.92
1,1,2,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,4,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,11.77,0,1,1,0,0,0,1,100,1,0,1,1,1,1,32.3,0,1,1,0,0,-0.761559,15,0,84.86
1,1,3,1,1,0,0,1,1,1,1,1,10,0,1,1,1,1,1,20,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,16.1,0,1,1,0,0,1,1,90,1,0,1,1,1,0,89.1,0,1,1,0,0,-0.887897,12,0,84.78
1,1,5,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,12,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,15.43,0,1,0,0,0,0,0,100,1,0,1,1,1,1,95.9,0,1,0,0,0,-0.47625,0,0,84.73
1,1,19,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,16.29,0,1,0,0,0,0,0,90,1,0,1,1,1,1,57.1,0,1,0,0,0,-1.03171,0,0,84.72
1,1,1,1,1,0,0,0,1,0,1,1,6,1,1,1,1,1,1,16,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,19.85,0,1,1,0,0,0,0,100,1,0,1,1,1,0,15.6,0,1,1,0,0,-1.32268,0,0,84.71
1,1,5,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,18.16,0,1,1,0,0,1,0,75,1,1,1,1,1,0,16.7,0,1,1,0,0.693147,-0.403883,8,0,84.7
1,1,6,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,21,0,1,1,0,0,0,1,75,1,0,1,1,1,1,83.3,0,1,1,0,0,-0.0265138,0,0,84.69
